Question	Answer	Tags
RESTful API 中 HTTP 方法如何对应 CRUD 操作？幂等性和安全性如何区分？	GET（查询，幂等安全）、POST（创建，非幂等非安全）、PUT（全量更新，幂等）、DELETE（删除，幂等）。安全性指不改变资源状态；幂等性指多次执行结果相同。PUT 和 DELETE 幂等，POST 非幂等（每次创建新资源）。	stack::backend-development::速记
HTTP 状态码的 5 大类分别代表什么？各举 2 个常见例子。	1xx 信息（101 Switching Protocols），2xx 成功（200 OK，201 Created），3xx 重定向（301 永久，302 临时），4xx 客户端错误（400 Bad Request，404 Not Found，429 Too Many Requests），5xx 服务端错误（500 Internal，502 Bad Gateway，503 Service Unavailable）。	stack::backend-development::速记
什么是 CAP 定理？分布式系统中如何取舍？	CAP 指一致性（Consistency）、可用性（Availability）、分区容错性（Partition Tolerance），三者不可兼得。网络分区（P）必然发生，实际在 C 和 A 之间权衡：ZooKeeper 选 CP（强一致），Eureka 选 AP（高可用），Nacos 支持 CP/AP 切换。AP 场景可接受最终一致性。	stack::backend-development
BASE 理论是什么？与 ACID 的区别是什么？	BASE = Basically Available（基本可用）+ Soft State（软状态）+ Eventually Consistent（最终一致性）。ACID 追求强一致，适合单体数据库；BASE 追求最终一致，适合分布式系统。BASE 牺牲强一致换可用性，是 CAP 中 AP 权衡的实践体现。	stack::backend-development::速记
分布式 ID 需满足哪些要求？主流方案有哪些？	要求：全局唯一、趋势递增、高可用、高吞吐。方案：① UUID（无序、太长，不适合做索引）；② 数据库自增步长（扩展难）；③ 雪花算法（64bit，1bit 符号+41bit 时间戳+10bit 机器+12bit 序列，时钟回拨有隐患）；④ 号段模式（Leaf 方案，预取号段到内存）。	stack::backend-development
设计秒杀系统要考虑哪些问题？如何应对高并发？	① 前端限流（按钮置灰、验证码、CDN 静态化）；② 后端分层削峰（Nginx 限流 → 网关限流 → Redis 令牌桶 → 消息队列排队）；③ 库存扣减用 Redis Lua 脚本保证原子性；④ 异步落单（MQ 削峰，最终库存扣减走 DB）；⑤ 防刷（用户维度限流、设备指纹）。	stack::backend-development::场景
设计短 URL 系统的核心思路是什么？如何处理冲突？	核心：发号器生成唯一 ID → 62 进制编码（数字+大小写字母）→ 映射出短链接。冲突处理：① 预生成号段（发号器提前分配 batch）；② 用布隆过滤器判断短链是否存在；③ 数据库唯一索引兜底。重定向用 301 可缓存，302 可追踪点击数。	stack::backend-development::场景
API 版本管理有哪些方式？推荐哪种？	① URL 路径版本 `/api/v1/orders`（最常用，直观；缺点：URL 污染）；② 请求头版本 `Accept: application/vnd.myapp.v1+json`（优雅，但调试不便）；③ 查询参数 `?version=1`（简单，但易忘记）。推荐 URL 路径版本，破坏性变更加版本号，6-12 个月过渡期后废弃旧版。	stack::backend-development::速记
令牌桶与漏桶算法有什么区别？分别适用于什么场景？	令牌桶：以固定速率生成令牌，桶满则丢弃，允许突发流量（有令牌就消费），适合接口限流。漏桶：以固定速率流出，超出桶容量则丢弃，平滑流量零突发，适合流量整形保护下游。滑动窗口：精确统计时间窗口内请求数，解决了固定窗口的边界突刺问题。	stack::backend-development
熔断和降级有什么区别？熔断的三个状态是什么？	熔断是应对**下游故障**：当错误率达到阈值时切断调用，防止级联故障（雪崩）；降级是**主动放弃**非核心功能，保证核心功能可用。熔断三状态：Closed（正常）→ Open（熔断开启）→ Half-Open（半开试探恢复），Half-Open 成功后回到 Closed。	stack::backend-development::速记
常见的负载均衡算法有哪些？各有什么优缺点？	① 轮询（依次分发，简单但忽略服务器差异）；② 加权轮询（按权重分配，适合异构集群）；③ 最小连接数（分给活跃连接最少的，适合长连接场景）；④ IP Hash（同一 IP 固定到同一台，解决 Session 问题）；⑤ 一致性 Hash（缓存场景，减少节点增减时的 rehash 量）。	stack::backend-development::速记
如何保证接口的幂等性？具体实现方案有哪些？	① 唯一索引/唯一约束（DB 层防重复插入）；② 幂等 Token（先获取 token，请求时携带，处理一次后删除）；③ 状态机幂等（利用业务状态判断，如""已支付""不可重复支付）；④ 去重表（建立去重流水表，唯一键防重）；⑤ 乐观锁（version 字段，CAS 更新）。	stack::backend-development::场景
分布式系统中如何保证数据最终一致性？	① 本地消息表（业务操作 + 消息表在同一个本地事务，定时任务扫表发送）；② 事务消息（RocketMQ 半消息 + 回查机制）；③ TCC（Try-Confirm-Cancel，两阶段补偿，业务侵入大）；④ Saga（长事务拆成子事务 + 补偿，适合跨服务编排）；⑤ Seata AT（自动代理 SQL，无侵入）。	stack::backend-development
HashMap 扩容时元素如何迁移？为什么扩容后元素要么在原位置，要么在原位置+旧容量？	扩容为原大小的 2 倍，`n` 变为 `2n`。新索引计算 `hash & (2n-1)`，原来 `hash & (n-1)`，高位多了一位。如果多出的那一位是 0，新索引不变；是 1，新索引 = 原索引 + 旧容量。通过 `e.hash & oldCap` 判断：0 则原位，非 0 则位移。JDK 1.8 避免了 1.7 的 rehash 性能损耗。	stack::java
ConcurrentHashMap 1.7 和 1.8 的实现有什么区别？1.8 为何放弃分段锁？	1.7 使用 Segment 数组 + HashEntry，分段锁继承 ReentrantLock，锁粒度是 Segment（默认 16 个）。1.8 使用 Node 数组 + 链表/红黑树，CAS + synchronized 锁桶（Node），锁粒度更细。1.8 放弃分段锁是因为：① 桶粒度并发度更高（16 段 → 桶数）；② CAS 无锁操作更轻量；③ 红黑树优化哈希冲突。	stack::java
synchronized 在 JVM 中的锁升级过程是怎样的？为什么要有偏向锁？	锁升级：无锁 → 偏向锁 → 轻量级锁 → 重量级锁（不可逆）。偏向锁：Mark Word 存线程 ID，同一线程重入无 CAS 开销，适合单线程竞争场景。轻量级锁：CAS 自旋抢锁，适合短时间锁。重量级锁：OS 互斥量，阻塞线程，适合长时间锁。JDK 15 起默认禁用偏向锁（维护成本高，且虚拟线程时代不适用）。	stack::java
AQS 的核心机制是什么？ReentrantLock 如何利用 AQS 实现锁？	AQS 核心是 `volatile int state` + CLH 双向队列。`state` 表示资源状态（0 空闲，>0 被占用），通过 CAS 修改。CLH 队列存储等待线程，每个节点封装线程和等待状态。ReentrantLock 的非公平锁：CAS 直接抢 state，失败则入队。公平锁：先检查队列是否有前驱节点，有则排队，无则 CAS 抢锁。	stack::java
线程池的 7 个核心参数是什么？工作流程是怎样的？	`corePoolSize`（核心线程数）、`maxPoolSize`（最大线程数）、`keepAliveTime`（空闲存活时间）、`workQueue`（阻塞队列）、`threadFactory`（线程工厂）、`handler`（拒绝策略）。流程：核心线程满 → 任务入队 → 队列满 → 创建非核心线程 → 队列满+线程满 → 拒绝策略。拒绝策略：AbortPolicy（抛异常）、CallerRunsPolicy（调用者执行）、DiscardPolicy、DiscardOldestPolicy。	stack::java::速记
CompletableFuture 如何实现任务编排？常用方法有哪些？	常用方法：`supplyAsync`（异步提交）、`thenApply`（同步转换）、`thenCompose`（异步扁平化）、`thenCombine`（两个结果合并）、`allOf`（等待全部完成）、`anyOf`（任意一个完成）。示例：`CompletableFuture.supplyAsync(() -> queryPrice()).thenCombine(CompletableFuture.supplyAsync(() -> queryStock()), (price, stock) -> new Product(price, stock))`。优点：避免回调地狱，支持异常处理 `exceptionally`。	stack::java::代码
JVM 运行时数据区包含哪些部分？哪些是线程共享，哪些是线程私有？	线程共享：堆（Heap，存对象实例）、方法区（Method Area，存类信息/常量/静态变量，JDK 8 后元空间实现）。线程私有：虚拟机栈（栈帧存局部变量表/操作数栈）、本地方法栈（Native 方法）、程序计数器（PC，当前线程执行字节码行号）。私有区域随线程生灭，无需 GC。	stack::java::速记
标记-清除、标记-整理、复制算法各自的优缺点是什么？	① 标记-清除：标记可达对象→清除未标记，产生内存碎片，适合老年代 CMS；② 标记-整理：标记→整理到一端，消除碎片但需要移动对象，适合老年代 Parallel Old；③ 复制算法：将内存分为两块，只使用一块，存活对象复制到另一块，效率高但有空间浪费，适合新生代（Eden:S0:S1=8:1:1，只浪费 10%）。	stack::java
G1 和 ZGC 垃圾收集器的主要区别是什么？分别适合什么场景？	G1：Region 化（1-32MB），可预测停顿（-XX:MaxGCPauseMillis），JDK 9 默认。ZGC：染色指针（64bit 指针存元数据），Region 大小动态（2MB/32MB/N×2MB），STW 亚毫秒级（<10ms），支持几 TB 堆。G1 适合 4-64GB 堆、可接受百毫秒停顿；ZGC 适合超大堆（几百 GB）、要求低延迟的场景。JDK 21 后 ZGC 默认支持分代。	stack::java
